date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
5/1/2013,108659660.29,52443,1542820000.00,139.00,0,3575,36.8060,null
5/2/2013,96958519.00,55169,1292190000.00,116.38,0,3425,54.4079,null
5/3/2013,84459697.32,55636,1180070000.00,106.25,0,3650,48.5268,null
5/4/2013,41545844.53,48595,1089890000.00,98.10,0,3900,43.4197,null
5/5/2013,56205929.55,49907,1254760000.00,112.90,0,3875,38.4090,null
5/6/2013,78921300.62,52523,1289470000.00,115.98,0,4250,51.8892,null
5/7/2013,102307623.08,55899,1248470000.00,112.25,0,4150,43.2249,null
5/8/2013,76523058.23,47555,1219450000.00,109.60,0,4125,49.5172,null
5/9/2013,65430830.10,66750,1259980000.00,113.20,0,4100,68.8336,null
5/10/2013,79216458.34,68957,1255970000.00,112.80,0,4250,61.0377,null
5/11/2013,71755641.74,71712,1311050000.00,117.70,0,4475,64.7145,null
5/12/2013,55128766.46,67439,1288630000.00,115.64,0,4375,57.9872,null
5/13/2013,65533931.58,60443,1279980000.00,114.82,0,4375,58.6645,null
5/14/2013,79193467.36,65458,1315720000.00,117.98,0,3850,56.3462,null
5/15/2013,73852227.13,65045,1242760000.00,111.40,0,3575,49.0000,null
5/16/2013,71605810.52,61462,1274620000.00,114.22,0,3650,58.4001,null
5/17/2013,77916539.13,60388,1319590000.00,118.21,0,4050,88.1267,null
5/18/2013,73842241.14,48290,1379140000.00,123.50,0,3425,37.0857,null
5/19/2013,54051749.66,50416,1376370000.00,123.21,0,4150,44.6998,null
5/20/2013,53907227.72,49435,1368910000.00,122.50,0,3375,48.7990,null
5/21/2013,72897395.71,53176,1363940000.00,122.02,0,3550,45.7374,null
5/22/2013,81312151.27,52952,1374130000.00,122.89,0,4150,50.6609,null
5/23/2013,75067901.78,55582,1384780000.00,123.80,0,4075,53.9574,null
5/24/2013,85631206.71,56521,1413300000.00,126.30,0,4125,43.3082,null
5/25/2013,97944506.67,54128,1489950000.00,133.10,0,4225,55.0251,null
5/26/2013,47608887.33,40435,1478030000.00,131.99,0,4100,31.4661,null
5/27/2013,63370027.11,52244,1495520000.00,133.50,0,4500,47.2950,null
5/28/2013,88677940.21,55119,1454310000.00,129.77,0,3850,54.5862,null
5/29/2013,87817483.31,54862,1446190000.00,129.00,0,4275,52.0067,null
5/30/2013,71751533.90,57928,1483180000.00,132.25,0,4375,47.8028,null
5/31/2013,84137422.57,56274,1445050000.00,128.80,0,4500,47.4830,null
6/1/2013,57393275.71,52487,1445800000.00,128.81,0,5050,39.6803,null
6/2/2013,48943212.37,50171,1451930000.00,129.30,0,5100,49.7193,null
6/3/2013,74752207.05,52867,1376180000.00,122.50,0,5300,45.4464,null
