date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-09-16,153867.004167,103,0.0,0.001815,54535.0,118,
2017-09-17,105226.30488,103,0.0,0.001836,124998.0,134,
2017-09-18,1632674.28372,251,0.0,0.003324,159158.0,313,
2017-09-19,1586676.58664,202,0.0,0.003273,158416.0,242,
2017-09-20,387165.088215,170,0.0,0.002306,83399.0,213,
2017-09-21,352338.174187,164,0.0,0.002638,99853.0,195,
2017-09-22,94160.6947562,1687,0.0,0.002079,38829.0,1725,
2017-09-23,19535868.7474,5557,0.0,0.001934,42314.0,4149,
2017-09-24,35303927.9733,4781,0.0,0.002346,50023.0,4804,
2017-09-25,242557.159114,7744,0.0,0.002251,106284.0,7811,
2017-09-26,252286.339888,8803,0.0,0.001777,61508.0,8878,
2017-09-27,31578005.712,9827,0.0,0.001736,35671.0,9905,
2017-09-28,2843974.51041,8284,0.0,0.002563,69532.0,8357,
2017-09-29,386323.919368,8217,29208900.0,0.002901,58162.0,8282,
2017-09-30,82506.7423006,3130,19966000.0,0.001983,53734.0,3178,
2017-10-01,249043582.476,6600,22765800.0,0.002261,72807.0,6649,
2017-10-02,1596058.87848,6895,18600200.0,0.001848,887622.0,6895,
2017-10-03,21098250.5428,7774,109938000.0,0.002748,822107.0,7866,
2017-10-04,1660601.68208,5684,98764600.0,0.002469,1072200.0,5692,
2017-10-05,2136973.2245,5754,130770000.0,0.003269,704167.0,5721,
2017-10-06,1974828.18691,3663,132826000.0,0.003321,478330.0,3677,
2017-10-07,320406.540967,5229,119798000.0,0.002995,352974.0,5269,
2017-10-08,311050.204556,6878,167048000.0,0.002565,239490.0,6879,
2017-10-09,1161331.05384,7544,167131000.0,0.002567,350960.0,7577,
2017-10-10,342937.918352,7580,142372000.0,0.002186,215705.0,7630,
2017-10-11,234222.924385,8413,149682000.0,0.002289,289055.0,8440,
2017-10-12,157441.985646,7610,161575000.0,0.002471,136756.0,7643,
2017-10-13,286806.704516,7539,153327000.0,0.002345,184709.0,7587,
2017-10-14,216226.788492,4981,138239000.0,0.002114,121404.0,5016,
2017-10-15,112643.330709,9254,155487000.0,0.002378,116033.0,9298,
2017-10-16,194615.513631,31453,149526000.0,0.002286,152645.0,31476,
2017-10-17,254877.279408,39359,140970000.0,0.002156,116008.0,39386,
2017-10-18,225397.018838,28641,127059000.0,0.001943,189768.0,28684,
2017-10-19,382309.977152,18182,136915000.0,0.002094,325575.0,18223,
2017-10-20,332803.845666,20444,125322000.0,0.001916,211546.0,20453,
